id,name,description,images,latitude,longitude,cityId,city,description_length,number_of_images
36,Hacienda napoles,"La Hacienda Nápoles es el nombre que tuviera en el pasado lo que hoy se conoce y reconoce como el Parque Temático Hacienda Nápoles, definido como un centro de entretenimiento familiar a espacio abierto, ubicado en Colombia, Puerto Triunfo, Antioquia, cuyo eje central es un enorme santuario para la protección de fauna en peligro o amenazada, grandes atracciones de agua, contenidos culturales, lúdicos y ambientales, y una política constante en rescate y conservación de fauna y flora. A pesar de la asociación que su nombre produce con algunos hechos sombríos del pasado reciente de la historia colombiana, el Parque Temático Hacienda Nápoles se ha construido desde cero, a partir de 2007 cuando se propuso su creación. Desde esa época se le considera como el proyecto líder de una de las más grandes transformaciones regionales que ha tenido Colombia luego de la desarticulación del Cartel de Medellín que lideraba Pablo Escobar. Hoy en día la propiedad está en cabeza del Estado colombiano, en tanto sus contenidos son desarrollados por la empresa privada.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/P%C3%B3rtico_Hacienda_N%C3%A1poles.JPG/800px-P%C3%B3rtico_Hacienda_N%C3%A1poles.JPG,5.887894,-74.6418,88,Puerto Triunfo,1060,1
34,Santa fe de antioquia,"Santa Fe de Antioquia3​ es un municipio de Colombia, ubicado en la subregión Occidente de Antioquia, departamento del que fue capital hasta el 17 de abril de 1826. Limita por el norte con los municipios de Giraldo y Buriticá, por el nororiente con los municipios de Buriticá, Liborina y Olaya, por el oriente con los municipios de Olaya y Sopetrán, por el sur con los municipios de Ebéjico, Anzá y Caicedo, y por el occidente con los municipios de Caicedo, Abriaquí y Giraldo. Santa Fe es monumento nacional por su admirable y hermosa arquitectura de la época colonial; posee 7 iglesias y una gran cantidad de casas de los siglos XVI, XVII y XVIII. Hace parte de la Red de pueblos patrimonio de Colombia.",https://colombia.travel/sites/default/files/sanpedroclavel.jpg,6.556389,-75.8275,125,Santafé de Antioquia,704,1
17,La ventana del mundo,"La Ventana al mundo es un monumento público ubicado en Barranquilla, Colombia. Fue construido a finales de 2018 para coincidir con los XXIII Juegos Centroamericanos y del Caribe de los cuales la ciudad fue anfitriona. Está emplazado en una glorieta del corredor industrial de la Circunvalar, cercana a su intersección con la Vía 40.3​ La obra es autoría de la arquitecta barranquillera Diana Escorcia Borelly, la construcción se dio por iniciativa de la compañía Tecnoglass S.A. en colaboración con otras compañías como Alutions by Tecnoglass, Aconstruir, Kuraray-Trosifol, Argos, M&P Distribuciones Valledupar (JLQG), GCC, Dow, Alloy, Alutrafic Led, Escenarios Deportivos, Smart Steel, así como la Alcaldía Distrital de Barranquilla",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Ventanalmundo.jpg/320px-Ventanalmundo.jpg,11.03308,-74.831406,144,Barranquilla,733,1
19,Volcan del totumo,"El volcán del Totumo es un cono volcánico lleno de lodo, que se encuentra ubicado en la zona rural del municipio de Santa Catalina (Bolívar), en la Región Caribe de Colombia, junto a la Ciénaga del Totumo y cerca de la frontera con el departamento del Atlántico. Los corregimientos de Loma de Arena, Galerazamba y Pueblo Nuevo son los más cercanos al mismo. La formación presenta una escasa elevación (aproximadamente de veinte metros) para llegar a su cráter es preciso ascender por una rústica escalera de madera.",https://lanzateyviaja.com/wp-content/uploads/2019/04/Volcan-del-Totumo-Colombia.jpg?ezimgfmt=ng:webp/ngcb41,10.744472,-75.241403,191,Santa Catalina,515,1
4,Lago de Tota,"El lago de Tota es un cuerpo de agua natural situado en el departamento de Boyacá, Colombia, en jurisdicción de los municipios de Cuítiva, Tota y Aquitania. Se encuentra ubicado a 34 km al sur de Sogamoso, aproximadamente 200 km al noreste de Bogotá, la capital del país. Con una superficie cercana a los 55 km² es el lago más grande de Colombia.5​ Además, después del Titicaca es el segundo lago navegable a mayor altitud de América del Sur,6​7​ al estar ubicado a 3015 m s. n. m..4 Según el Instituto Geográfico Agustín Codazzi los suelos de la cuenca hidrográfica del Lago de Tota son de los más productivos y con mayor capacidad agrícola de Colombia. Esa región genera aproximadamente el 80 por ciento de la producción total de cebolla larga del país",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Lago_de_Tota%2C_sector_municipio_de_Tota.jpg/1280px-Lago_de_Tota%2C_sector_municipio_de_Tota.jpg,5.55,-72.916667,219,Aquitania,754,1
26,Nevado del cocuy,"El Parque Nacional Natural Güicán, Cocuy y Chita es uno de los 59 parques nacionales naturales de Colombia.1​ Está ubicado al centro-oriente del país, en el límite entre los departamentos de Boyacá, Casanare y Arauca, con una extensión de 306.000 ha (3.060 km²). El territorio del parque se ubica dentro de las jurisdicciones municipales de Güicán, Chita, El Cocuy, El Espino, Chiscas y Cubará en Boyacá, Sácama en Casanare, y Tame y Fortul en Arauca. Fue creado mediante acuerdo del Ministerio de Agricultura No 0017 del 2 de mayo de 1977.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Ritacuba_.jpg/270px-Ritacuba_.jpg,6.433333,-72.283333,247,El Cocuy,540,1
28,Nevado del ruiz,"El Nevado del Ruiz, Volcán del Ruiz o la Mesa de Herveo,4​ en la época precolombina como Cumanday, Tabuchía y Tama,1​ se conoce como Volcán del Ruiz quizás en honor a Alfonso Ruiz de Sahajosa, miembro del cabildo y persona notable de Ibagué, 5​ es el más septentrional de los volcanes activos del cinturón volcánico de los Andes, ubicado en el límite entre los departamentos de Tolima y Caldas, en Colombia. Es un estratovolcán compuesto por muchas capas de lava que se alternan con ceniza volcánica endurecida y otros piroclastos. Ha estado activo durante cerca de dos millones de años, desde el Pleistoceno temprano o el Plioceno tardío, con tres periodos eruptivos importantes. La formación del cono volcánico formado durante el curso del período eruptivo actual comenzó hace 150 mil años.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Nevado_del_Ruiz_nos_saludo_4.jpg/800px-Nevado_del_Ruiz_nos_saludo_4.jpg,4.8925,-75.323611,337,Manizales,792,1
41,Parque nacional natural Puracé,"El parque nacional natural Puracé se encuentra en la reserva de biosfera del cinturón andino, región del macizo colombiano perteneciente a la Cordillera Central de los Andes en Colombia. Su superficie hace parte de los departamentos del Cauca y del Huila. Su altitud es de 4646 msnm (metros sobre el nivel del mar); dentro del parque se encuentra el volcán Puracé, que es uno de los volcanes más activos de Colombia. Dentro del paisaje de este parque natural, se levanta imponente el volcán Puracé, parte de la cadena volcánica de los Coconucos. También se engloba parte del Macizo Colombiano, donde nacen cuatro de los ríos más caudalosos de Colombia: Magdalena, Cauca, Caquetá y Patía.",Puracé_-_Paisaje_Lago_3-_Foto_Archivo_de_Parques.jpg (957×535) (redbus.co),2.2,-76.35,399,Popayán,687,1
40,Centro Histórico de Popayán,"El Centro Histórico de Popayán se encuentra en el centro-oriente de la Capital del Departamento del Cauca, Popayán, con una superficie aproximada de 236 manzanas, es uno de los centros históricos coloniales más grandes del país y América, lo que convierte a esta ciudad colombiana en una de las más antiguas y mejor conservadas del continente lo que se ve reflejado en su arquitectura y tradiciones religiosas, reconocida por su arquitectura colonial y el cuidado de las fachadas. El trazado urbano original de Popayán es uno de los mejores ejemplos de trama ortogonal en la Nueva Granada, muy anterior a la promulgación de las Leyes de Indias. Siendo gratamente ennoblecido por el deseo de las grandes familias aristócratas españolas y criollas descendientes de los conquistadores que eran propietarios de grandes haciendas sostenidas por la esclavitud en los trabajos de minería o agricultura, esto les permitió hacerse de varias riquezas y poder financiar la construcción de varios esveltos templos y de sus propias opulentas residencias. Sobreviviendo ya a varios desastres naturales a lo largo de los siglos, el centro histórico de la ciudad fue declarado Monumento Nacional el 30 de diciembre de 1959.",Centro_Histórico_2.JPG (1280×960) (wikimedia.org),2.43823,-76.61316,399,Popayán,1207,1
3,Villa de Leyva,"Villa de Leyva es un municipio colombiano ubicado en la provincia de Ricaurte del departamento de Boyacá. Está ubicado a 40 km al occidente de Tunja, capital del departamento, y a 165 km de Bogotá, capital del país.4​ Fue fundado en 1572 con el nombre de Villa de Santa María de Leyva, reconocido como monumento nacional en 1954, Pueblo Patrimonio en 2010, y está en la lista tentativa de sitios Patrimonio de la Humanidad de UNESCO.​ Se caracteriza por conservar una arquitectura de estilo colonial, por la variedad de sus paisajes rurales que van desde la zona de páramo, con sus nacimientos y reservorios de agua, hasta la zona desértica, y por la diversidad de las especies que los habitan.9​ Sobresale también por su enorme plaza principal empedrada (área de 1,4 ha), que se encuentra flanqueada por antiguos edificios coloniales.",https://travelgrafia.co/wp-content/uploads/2020/02/Turismo-en-Villa-de-Leyva.jpg,5.633056,-73.525556,592,Ricaurte,835,1
